gene,fg_score,fg_rank,between_variance,within_variance,permutation_p_value,bh_fdr,bh_fdr_005,bh_fdr_001,in_locked_top200
PPHLN1,3.500546110758998,11017,0.1019855785132084,0.02913418086232108,0.01098901098901099,0.02161295181173551,True,False,False
PPIA,2.6221569066880894,13251,0.12893472813100482,0.04917123822017443,0.01998001998001998,0.032671275596337854,True,False,False
PPIB,1.1368232597092407,19928,0.011171935302357765,0.009827318220936606,0.35064935064935066,0.38126606432507676,False,False,False
PPIC,3.131911713256654,9918,0.06968744880414052,0.02225076051475294,0.005994005994005994,0.013095192768514003,True,False,False
PPID,3.709238351686392,8724,0.1473440440127442,0.03972352082830462,0.002997002997002997,0.007443725462982684,True,True,False
PPIE,2.2394537389283986,14852,0.00850453120679299,0.0037975818229337905,0.03496503496503497,0.05101147169555465,False,False,False
PPIF,6.899349635763865,5562,0.10504571791855241,0.015225442175090736,0.000999000999000999,0.003891829134547581,True,True,False
PPIG,3.081124245594907,9372,0.16442170174052245,0.05336418067669753,0.003996003996003996,0.00923873395064176,True,True,False
PPIH,5.8952784709873916,5561,0.06768944568347655,0.01148196596035516,0.000999000999000999,0.00389252897794527,True,True,False
PPIL1,0.6139008553331949,21325,0.013974885365049948,0.022764065409970023,0.7672327672327672,0.7795732520703212,False,False,False
PPIL4,2.5713982519504386,14050,0.1389929145521565,0.054053427442733185,0.025974025974025976,0.0400573092388039,True,False,False
PPIL6,1.9869648758699916,16278,0.044859247903761536,0.0225767594479853,0.06593406593406594,0.08776626985252123,False,False,False
PPIP5K1,5.370221842305787,5560,0.0525361866886917,0.009782860844332658,0.000999000999000999,0.003893229073085188,True,True,False
PPIP5K2,5.3433900216357335,5559,0.532577034425906,0.09967024283003242,0.000999000999000999,0.0038939294201031922,True,True,False
PPL,14.062313063753512,5558,1.5988451751641612,0.1136971583047851,0.000999000999000999,0.003894630019135237,True,True,True
PPM1A,4.562746084770892,5557,0.1543814835813856,0.03383520254813317,0.000999000999000999,0.0038953308703173735,True,True,False
PPM1D,4.0356941944204765,5556,0.023431102849830684,0.00580595589360641,0.000999000999000999,0.0038960319737857533,True,True,False
PPM1E,3.439052524927176,11431,0.19802628828482283,0.057581631120475804,0.011988011988011988,0.0227238425121375,True,False,False
PPM1F,4.129188579618611,8693,0.04101767142527821,0.009933581221224091,0.002997002997002997,0.007470270440476353,True,True,False
PPM1G,1.2591682626921326,19190,0.003273394478340702,0.0025996381767592397,0.24275724275724275,0.27410442605856883,False,False,False
PPM1H,20.56249408224104,5522,0.24181469567426075,0.011759978584415248,0.000999000999000999,0.003920020580650787,True,True,False
PPM1J,1.7454606116708502,16506,0.1328928342992812,0.07613624504391585,0.07392607392607392,0.09704532714347328,False,False,False
PPM1K,3.280993251632178,5521,0.12686360693511656,0.03866621001493188,0.000999000999000999,0.003920730600679885,True,True,False
PPM1L,11.897083751456826,5552,0.20115770299587218,0.016908142215978132,0.000999000999000999,0.003898838913248135,True,True,False
PPM1M,19.716034021309902,5551,0.274363017432521,0.013915720574210724,0.000999000999000999,0.0038995412801934148,True,True,False
PPM1N,4.558567263407752,11721,0.0823882191983459,0.018073260489982125,0.013986013986013986,0.02585521295528974,True,False,False
PPME1,13.08570368992304,5568,0.07109828321638953,0.005433269317729047,0.000999000999000999,0.0038876353531525944,True,True,False
PPOX,2.863498263919421,10321,0.020918463625697704,0.00730520260979062,0.007992007992007992,0.01677849328270799,True,False,False
PPP1CA,5.449576740756887,5567,0.04889704361931877,0.008972621443763741,0.000999000999000999,0.0038883336889444305,True,True,False
PPP1CB,1.7809403606026781,16975,0.08443787177315291,0.047411949232918256,0.0899100899100899,0.11476711800717691,False,False,False
PPP1CC,1.0871984464553923,20037,0.04699106456152802,0.0432221494086467,0.37362637362637363,0.40403934040706013,False,False,False
PPP1R10,2.4390667410944915,13432,0.03899578230962757,0.015987983133852846,0.02097902097902098,0.0338425719604993,True,False,False
PPP1R11,4.985232333346314,5566,0.021325795213603664,0.004277783648844611,0.000999000999000999,0.003889032275665405,True,True,False
