gene,fg_score,fg_rank,between_variance,within_variance,permutation_p_value,bh_fdr,bh_fdr_005,bh_fdr_001,in_locked_top200
KCNJ6,15.46456114511698,5697,1.3274711367342629,0.08583955080469954,0.000999000999000999,0.0037996056953402925,True,True,True
ENSMFAG00000018969,15.071256811180755,5746,0.8319732966095077,0.05520263879252143,0.000999000999000999,0.003767203906431195,True,True,True
ENSMFAG00000018905,33.775728132267595,5747,1.6960261136985733,0.05021433644004838,0.000999000999000999,0.003766548398530302,True,True,True
ENSMFAG00000042392,23.034667237344163,5773,2.5714924080636363,0.11163574238867323,0.000999000999000999,0.0037495849032311876,True,True,True
PKNOX2,17.98505651424064,5800,0.7343123071995871,0.040829014174494846,0.000999000999000999,0.0037321299390264905,True,True,True
KCNS3,20.478214547861842,5809,0.721709023513054,0.035242760888363825,0.000999000999000999,0.0037263476753922613,True,True,True
KCNS1,27.486181854846674,5811,10.60273030468795,0.38574764897571756,0.000999000999000999,0.003725065160274246,True,True,True
ENSMFAG00000021768,37.867287644842,5864,1.0479580221751839,0.027674483932705232,0.000999000999000999,0.003691397279391822,True,True,True
KHDRBS3,29.42579470365619,5958,1.2184477784680345,0.04140746227862094,0.000999000999000999,0.0036331577117075606,True,True,True
KHDRBS2,29.429560472000254,5959,1.3290748485370683,0.04516120978109632,0.000999000999000999,0.003632548019190073,True,True,True
PDZRN3,23.471229916515448,6005,0.6542313164614856,0.02787374517978877,0.000999000999000999,0.003604721672998109,True,True,True
PCSK1,26.818557824597764,6107,2.721595761186329,0.10148179893940924,0.000999000999000999,0.003544515088644776,True,True,True
PCP4,28.333088026875892,6108,4.287954241814666,0.15134086176615713,0.000999000999000999,0.0035439347816558033,True,True,True
PBX3,16.870550141907977,6156,0.9316520835787799,0.05522356455697142,0.000999000999000999,0.003516301761915797,True,True,True
PAPSS2,27.753673922154707,6205,1.8464978084499999,0.0665316432012726,0.000999000999000999,0.003488534028421216,True,True,True
PAK1,33.213949854239274,6209,0.7654901531884672,0.02304723841663972,0.000999000999000999,0.0034862866236678443,True,True,True
OXR1,23.18366535405549,6257,1.500968665598564,0.06474249911907687,0.000999000999000999,0.0034595418964925117,True,True,True
