gene_symbol,fg_score,fg_rank,between_variance,within_variance,permutation_exceed_count,permutation_p_value,bh_fdr,bh_fdr_005,bh_fdr_001,in_locked_top200,in_recomputed_top200
ENSMFAG00000040743,55.5859672982965,208,9.891575217626349,0.1779509315486863,0,0.0001999600079984003,0.00034656322614856324,True,True,True,False
RGS9,55.4132258271163,212,9.059714424165195,0.16349370993665546,0,0.0001999600079984003,0.00034656322614856324,True,True,True,False
GABBR2,55.28611157472011,216,3.773778734829648,0.06825906316215073,0,0.0001999600079984003,0.00034656322614856324,True,True,True,False
NEUROD6,55.06751925600968,220,9.806860240827048,0.17808791502954083,0,0.0001999600079984003,0.00034656322614856324,True,True,True,False
SLC35D3,54.99579213603276,221,8.029007471519531,0.1459931134676952,0,0.0001999600079984003,0.00034656322614856324,True,True,True,False
KCNJ6,54.89327817433235,223,4.33296352924492,0.0789343089795318,0,0.0001999600079984003,0.00034656322614856324,True,True,True,False
ENSMFAG00000015786,54.84787306462302,224,3.1076912511013197,0.05666018623841688,0,0.0001999600079984003,0.00034656322614856324,True,True,True,False
ENSMFAG00000033848,54.77563672691567,226,3.2684958704223748,0.05967060390299275,0,0.0001999600079984003,0.00034656322614856324,True,True,True,False
SNCB,54.53026854931483,231,4.248096130006007,0.07790344147785604,0,0.0001999600079984003,0.00034656322614856324,True,True,True,False
ID2,54.50950653742057,232,2.8503914843382248,0.052291629851508134,0,0.0001999600079984003,0.00034656322614856324,True,True,True,False
CADPS2,54.245889918139405,236,9.003180941991452,0.16596981657262774,0,0.0001999600079984003,0.00034656322614856324,True,True,True,False
PRICKLE1,53.968081276958344,242,2.5326841100998063,0.04692928691352831,0,0.0001999600079984003,0.00034656322614856324,True,True,True,False
ATRNL1,53.77515908580431,245,3.686170452352892,0.06854781979760587,0,0.0001999600079984003,0.00034656322614856324,True,True,True,False
FSTL4,53.19549853024783,250,3.046461029417175,0.05726914084149286,0,0.0001999600079984003,0.00034656322614856324,True,True,True,False
MAGI1,51.98047787363694,261,1.0407107442002523,0.020021174621083906,0,0.0001999600079984003,0.00034656322614856324,True,True,True,False
FAM81A,51.93864261426485,262,2.3243599401921022,0.04475202477022946,0,0.0001999600079984003,0.00034656322614856324,True,True,True,False
CDH13,51.68170151706317,267,4.149778587558286,0.08029491965103326,0,0.0001999600079984003,0.00034656322614856324,True,True,True,False
VIP,51.56383218393074,270,4.032250566945739,0.07819919273889848,0,0.0001999600079984003,0.00034656322614856324,True,True,True,False
SH2D4B,51.140281933947264,277,4.632989149785607,0.09059372500853147,0,0.0001999600079984003,0.00034656322614856324,True,True,True,False
CDH12,50.580869030393444,284,3.0441227325682627,0.06018327255173088,0,0.0001999600079984003,0.00034656322614856324,True,True,True,False
NRN1,50.523991736719246,285,6.795946118861143,0.13450927727632705,0,0.0001999600079984003,0.00034656322614856324,True,True,True,False
ADGRL2,50.50347423736372,286,1.8711020127874727,0.03704896615545002,0,0.0001999600079984003,0.00034656322614856324,True,True,True,False
ENSMFAG00000030665,50.467920713940444,288,2.490227814040882,0.04934277604731622,0,0.0001999600079984003,0.00034656322614856324,True,True,True,False
PSRC1,50.3086679038448,291,3.268582241037026,0.0649705482998994,0,0.0001999600079984003,0.00034656322614856324,True,True,True,False
THRB,49.95690840461531,299,2.9704618153052906,0.05946047124609052,0,0.0001999600079984003,0.00034656322614856324,True,True,True,False
CRHBP,49.56341824928393,307,3.502307112539216,0.07066313705987447,0,0.0001999600079984003,0.00034656322614856324,True,True,True,False
ENSMFAG00000040641,49.44288672882338,312,4.090336910492143,0.08272851135285271,0,0.0001999600079984003,0.00034656322614856324,True,True,True,False
ZBTB18,48.71475049099892,323,1.6922469346980114,0.03473786544104716,0,0.0001999600079984003,0.00034656322614856324,True,True,True,False
