sample_id,donor,truth,pred_top1,pred_top3,hit1,hit3,panel_genes
qbt-L-TEa-8-10_BRRL200004968-1A,qbt,Temporal,Temporal,"Temporal | Occipital/Temporal | Parietal, and Parieto-occipital region",1,1,200
qbt-L-TEad-8-11_BRRL200004969-1A,qbt,Temporal,Temporal,"Temporal | Occipital/Temporal | Parietal, and Parieto-occipital region",1,1,200
qbt-L-24c-8-11_BRRL200004971-1A,qbt,Cingulate gyrus,Lateral Prefrontal Cortex,Lateral Prefrontal Cortex | Temporal | Frontal (agranular frontal motor areas),0,0,200
qbt-L-9m-8-13_BRRL200004985-1A,qbt,Lateral Prefrontal Cortex,Lateral Prefrontal Cortex,"Lateral Prefrontal Cortex | Orbitomedial Prefrontal Cortex (OMPFC) | Parietal, and Parieto-occipital region",1,1,200
qbt-L-46v-8-13_BRRL200004986-1A,qbt,Lateral Prefrontal Cortex,Temporal,"Temporal | Parietal, and Parieto-occipital region | Lateral Prefrontal Cortex",0,1,200
qbt-L-12r-8-13_BRRL200004987-1A,qbt,Lateral Prefrontal Cortex,Lateral Prefrontal Cortex,"Lateral Prefrontal Cortex | Temporal | Parietal, and Parieto-occipital region",1,1,200
qbt-L-12m-8-13_BRRL200004988-1A,qbt,Orbitomedial Prefrontal Cortex (OMPFC),Temporal,"Temporal | Lateral Prefrontal Cortex | Parietal, and Parieto-occipital region",0,0,200
qbt-L-11m-8-13_BRRL200004989-1A,qbt,Orbitomedial Prefrontal Cortex (OMPFC),Temporal,Temporal | Lateral Prefrontal Cortex | Orbitomedial Prefrontal Cortex (OMPFC),0,1,200
qbt-L-11l-8-13_BRRL200004990-1A,qbt,Orbitomedial Prefrontal Cortex (OMPFC),Temporal,"Temporal | Orbitomedial Prefrontal Cortex (OMPFC) | Parietal, and Parieto-occipital region",0,1,200
qbt-L-13b-8-13_BRRL200004991-1A,qbt,Orbitomedial Prefrontal Cortex (OMPFC),Temporal,"Temporal | Parietal, and Parieto-occipital region | Orbitomedial Prefrontal Cortex (OMPFC)",0,1,200
qbt-L-10m-8-13_BRRL200004992-1A,qbt,Orbitomedial Prefrontal Cortex (OMPFC),Temporal,Temporal | Operculum/Insula | Orbitomedial Prefrontal Cortex (OMPFC),0,1,200
