reference,family,marker_gene
Siletti2023_human,Excitatory neuron,GABRQ
Siletti2023_human,Excitatory neuron,GADL1
Siletti2023_human,Excitatory neuron,GAL
Siletti2023_human,Excitatory neuron,GALR1
Siletti2023_human,Excitatory neuron,GAS2L3
Siletti2023_human,Excitatory neuron,GATA2
Siletti2023_human,Excitatory neuron,GATA3
Siletti2023_human,Excitatory neuron,GBX2
Siletti2023_human,Excitatory neuron,GDNF
Siletti2023_human,Excitatory neuron,GFRA1
Siletti2023_human,Excitatory neuron,GHSR
Siletti2023_human,Excitatory neuron,GIPR
Siletti2023_human,Excitatory neuron,GLP1R
Siletti2023_human,Excitatory neuron,GLP2R
Siletti2023_human,Excitatory neuron,GLRA1
Siletti2023_human,Excitatory neuron,GLYATL1
Siletti2023_human,Excitatory neuron,GNA14-AS1
Siletti2023_human,Excitatory neuron,GNAT3
Siletti2023_human,Excitatory neuron,GNG8
Siletti2023_human,Excitatory neuron,GPC2
Siletti2023_human,Excitatory neuron,GPC3
Siletti2023_human,Excitatory neuron,GPC4
Siletti2023_human,Excitatory neuron,GPR151
Siletti2023_human,Excitatory neuron,GRB14
Siletti2023_human,Excitatory neuron,GRP
Siletti2023_human,Excitatory neuron,GUCA1C
Siletti2023_human,Excitatory neuron,HCP5
Siletti2023_human,Excitatory neuron,HCRT
Siletti2023_human,Excitatory neuron,HGF
Siletti2023_human,Excitatory neuron,HLX-AS1
Siletti2023_human,Excitatory neuron,HMCN2
Siletti2023_human,Excitatory neuron,HMGA2
Siletti2023_human,Excitatory neuron,HNF4G
Siletti2023_human,Excitatory neuron,HOTAIRM1
Siletti2023_human,Excitatory neuron,HOXA3
Siletti2023_human,Excitatory neuron,HOXB-AS1
Siletti2023_human,Excitatory neuron,HOXB3
Siletti2023_human,Excitatory neuron,HOXB7
Siletti2023_human,Excitatory neuron,HOXC4
Siletti2023_human,Excitatory neuron,HOXD3
Siletti2023_human,Excitatory neuron,HPGD
Siletti2023_human,Excitatory neuron,HSPD1P8
Siletti2023_human,Excitatory neuron,IFNG-AS1
Siletti2023_human,Excitatory neuron,IGF2BP2
Siletti2023_human,Excitatory neuron,IGFBP2
Siletti2023_human,Excitatory neuron,IGFBP3
Siletti2023_human,Excitatory neuron,IGFBP7
Siletti2023_human,Excitatory neuron,IGSF1
Siletti2023_human,Excitatory neuron,IL26
Siletti2023_human,Excitatory neuron,IL4R
Siletti2023_human,Excitatory neuron,INSRR
Siletti2023_human,Excitatory neuron,IRAG2
Siletti2023_human,Excitatory neuron,IRX2
Siletti2023_human,Excitatory neuron,IRX3
Siletti2023_human,Excitatory neuron,IRX4
Siletti2023_human,Excitatory neuron,IRX6
Siletti2023_human,Excitatory neuron,ISL1
Siletti2023_human,Excitatory neuron,ISLR
Siletti2023_human,Excitatory neuron,ITGA11
Siletti2023_human,Excitatory neuron,ITGA4
Siletti2023_human,Excitatory neuron,ITIH5
Siletti2023_human,Excitatory neuron,ITPRID1
Siletti2023_human,Excitatory neuron,IZUMO3
Siletti2023_human,Excitatory neuron,KC877982.1
Siletti2023_human,Excitatory neuron,KCNG1
Siletti2023_human,Excitatory neuron,KCNG2
Siletti2023_human,Excitatory neuron,KCNJ5
Siletti2023_human,Excitatory neuron,KLHL1
Siletti2023_human,Excitatory neuron,KLK7
Siletti2023_human,Excitatory neuron,KREMEN2
Siletti2023_human,Excitatory neuron,KRT17
Siletti2023_human,Excitatory neuron,LAMA2
Siletti2023_human,Excitatory neuron,LATS2
Siletti2023_human,Excitatory neuron,LBX1-AS1
Siletti2023_human,Excitatory neuron,LEF1
Siletti2023_human,Excitatory neuron,LGI2
Siletti2023_human,Excitatory neuron,LGR5
Siletti2023_human,Excitatory neuron,LGR6
Siletti2023_human,Excitatory neuron,LHX1
Siletti2023_human,Excitatory neuron,LHX1-DT
Siletti2023_human,Excitatory neuron,LHX5
Siletti2023_human,Excitatory neuron,LHX5-AS1
Siletti2023_human,Excitatory neuron,LHX8
Siletti2023_human,Excitatory neuron,LHX9
Siletti2023_human,Excitatory neuron,LINC00210
Siletti2023_human,Excitatory neuron,LINC00261
Siletti2023_human,Excitatory neuron,LINC00326
Siletti2023_human,Excitatory neuron,LINC00331
Siletti2023_human,Excitatory neuron,LINC00334
Siletti2023_human,Excitatory neuron,LINC00343
Siletti2023_human,Excitatory neuron,LINC00348
Siletti2023_human,Excitatory neuron,LINC00355
Siletti2023_human,Excitatory neuron,LINC00363
Siletti2023_human,Excitatory neuron,LINC00383
Siletti2023_human,Excitatory neuron,LINC00390
Siletti2023_human,Excitatory neuron,LINC00410
Siletti2023_human,Excitatory neuron,LINC00507
Siletti2023_human,Excitatory neuron,LINC00508
Siletti2023_human,Excitatory neuron,LINC00540
Siletti2023_human,Excitatory neuron,LINC00578
Siletti2023_human,Excitatory neuron,LINC00581
Siletti2023_human,Excitatory neuron,LINC00589
Siletti2023_human,Excitatory neuron,LINC00607
Siletti2023_human,Excitatory neuron,LINC00616
Siletti2023_human,Excitatory neuron,LINC00682
Siletti2023_human,Excitatory neuron,LINC00683
Siletti2023_human,Excitatory neuron,LINC00836
Siletti2023_human,Excitatory neuron,LINC00922
Siletti2023_human,Excitatory neuron,LINC00943
Siletti2023_human,Excitatory neuron,LINC01036
Siletti2023_human,Excitatory neuron,LINC01090
Siletti2023_human,Excitatory neuron,LINC01133
Siletti2023_human,Excitatory neuron,LINC01151
Siletti2023_human,Excitatory neuron,LINC01163
Siletti2023_human,Excitatory neuron,LINC01164
Siletti2023_human,Excitatory neuron,LINC01194
Siletti2023_human,Excitatory neuron,LINC01239
Siletti2023_human,Excitatory neuron,LINC01297
Siletti2023_human,Excitatory neuron,LINC01307
Siletti2023_human,Excitatory neuron,LINC01320
