"gene_id","gene_symbol","gene_type","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMFAG00000041222","SDC2","protein_coding",3983.70356049736,-0.0535659549957547,0.0452210264069407,536.238077280315,9.92130003485124e-110,3.40402722225168e-107
"ENSMFAG00000037856","CD300E","protein_coding",567.442241290193,0.171400278929826,0.145465651206694,535.181321111121,1.67129483087132e-109,5.65115647812445e-107
"ENSMFAG00000046342","NKX2-1","protein_coding",191.713421203132,-0.316642643603011,0.221867786986043,534.524176745564,2.3114771219988e-109,7.70415324762201e-107
"ENSMFAG00000045766","MAPK13","protein_coding",7682.62801676463,-0.0948518996057185,0.0732491021215084,531.788968744036,8.91381845472434e-109,2.92913096291794e-106
"ENSMFAG00000032401","PLXDC1","protein_coding",5454.55716603266,0.0777647768772058,0.0751653329978552,530.067390960365,2.08444045858861e-108,6.75445560268485e-106
"ENSMFAG00000032788","REM2","protein_coding",241.635578607713,-0.113121023073066,0.215455711236752,529.253216936599,3.11499586602919e-108,9.95561213018178e-106
"ENSMFAG00000037561","VTCN1","protein_coding",13.2226520982935,0.597885863230682,0.420362599028394,529.076982159003,3.39798970503611e-108,1.07133105146213e-105
"ENSMFAG00000002145","ABCA1","protein_coding",5991.38377588592,0.204291519041649,0.100644611480472,527.206376043066,8.5517652415669e-108,2.66028313134663e-105
"ENSMFAG00000036535","MYB","protein_coding",86.2911694354004,0.122896854798405,0.24384382937477,526.939475225483,9.75541537409791e-108,2.99478415911945e-105
"ENSMFAG00000039319","FAM131B","protein_coding",34190.1287027758,0.251329389179644,0.0629332570701578,524.542826021261,3.18250282160816e-107,9.64298354947274e-105
"ENSMFAG00000008661","THRB","protein_coding",23957.0688331366,-0.140296438148959,0.0737890932662454,520.060657277288,2.90445919433191e-106,8.68768429012278e-104
"ENSMFAG00000035845","MKRN2","protein_coding",7378.23251109505,0.152960873885607,0.0383915503200025,519.771737276926,3.34936162098638e-106,9.89163999737128e-104
"ENSMFAG00000009696","INSM2","protein_coding",327.359662656558,0.557251118115474,0.130114430422857,519.663398913361,3.53322897105381e-106,1.03042206404571e-103
"ENSMFAG00000027128","POU3F4","protein_coding",528.675856591185,-0.00999947614854126,0.115326139110774,519.094304532683,4.67832057466003e-106,1.34752959663448e-103
"ENSMFAG00000045768","RAB34","protein_coding",1531.28152477125,-0.108073476246027,0.0923510518143429,509.767779378602,4.65444994032613e-104,1.32430453119206e-101
"ENSMFAG00000003084","SEPT6","protein_coding",6995.63878369639,-0.0627318482865284,0.0638525407204437,508.196963218584,1.00993679071432e-103,2.83889581495853e-101
"ENSMFAG00000043516","CLEC10A","protein_coding",130.348985216855,-1.46407639716482,0.220266545302281,507.741390644234,1.26433650918936e-103,3.51169465427345e-101
"ENSMFAG00000028723","SCIN","protein_coding",285.212386664166,-0.0281086847987655,0.154120767744598,507.451935696592,1.45832280096278e-103,4.00283873756031e-101
"ENSMFAG00000037051","SLC24A3","protein_coding",7488.42538986787,0.162782156848199,0.100618510763797,507.178755908859,1.66862459638046e-103,4.52682330908751e-101
"ENSMFAG00000030254","GPX3","protein_coding",383.27465766592,-0.14215069840456,0.130787853959241,505.715850209681,3.43282219026426e-103,9.20588212885694e-101
"ENSMFAG00000002675","PARD3","protein_coding",3632.94324685103,0.00783460318185149,0.0763633734011063,502.460596158016,1.70900751938979e-102,4.53100618578219e-100
"ENSMFAG00000031370","CARHSP1","protein_coding",1829.5153014503,-0.118641136587839,0.14012668370947,500.318242192582,4.91452375166377e-102,1.28832307471986e-99
"ENSMFAG00000041464","PAPSS2","protein_coding",3529.72540611787,-0.0897799570353203,0.103696155274336,499.117300826096,8.88432118681132e-102,2.28531710997845e-99
"ENSMFAG00000036626","TSHR","protein_coding",56.1078557048893,-0.591040143834756,0.420225482374076,499.101793757933,8.95250416452852e-102,2.28531710997845e-99
"ENSMFAG00000015043","FBLN7","protein_coding",1646.84354691985,0.67209413796274,0.158510636942299,499.088453136274,9.01158004877705e-102,2.28531710997845e-99
"ENSMFAG00000031342","THSD7B","protein_coding",1008.48467771515,-0.618450958608237,0.0793277026867928,494.030233360491,1.09083275878479e-100,2.73658269840946e-98
"ENSMFAG00000039094","STK26","protein_coding",153.696794403926,0.374773332592096,0.22876970843372,491.892948841528,3.12824134045111e-100,7.76436156532606e-98
"ENSMFAG00000046600","ENSMFAG00000046600","lincRNA",335.258765140568,0.0915437297993945,0.150880445486548,490.573313971577,5.99499296389769e-100,1.47230716674418e-97
"ENSMFAG00000001654","DCLK2","protein_coding",15213.7341231599,0.023847193006847,0.0620369361972175,489.384139502768,1.07730996782794e-99,2.61819988118684e-97
"ENSMFAG00000003796","PF4V1","protein_coding",93.0075345629937,1.65560353602202,0.313589996908656,485.378982157851,7.75550148010963e-99,1.86539799002513e-96
"ENSMFAG00000002541","ADAMTSL3","protein_coding",3713.79572328061,-0.662943880065394,0.0919391034552356,485.327629175904,7.95428015028168e-99,1.89368683863492e-96
"ENSMFAG00000034077","LMO4","protein_coding",30684.976155741,-0.162909809211897,0.0877690797044112,484.188976975757,1.39412101941053e-98,3.28547853574414e-96
"ENSMFAG00000043514","KCNS1","protein_coding",29333.7938011373,0.256802977039575,0.241977870983539,483.584063201089,1.87829378422396e-98,4.38224722797293e-96
