"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_symbol","gene_type"
"ENSMFAG00000001677",6.13198440959213,-0.144029983165179,0.175981059986322,14.52163548722,0.104942001291129,0.10889333032586,"ENSMFAG00000001677","protein_coding"
"ENSMFAG00000015139",5.49261846327553,0.24056065269122,0.192011150109779,14.5211654534478,0.104956643194699,0.108902796630268,"RF00019","misc_RNA"
"ENSMFAG00000030433",1552.00268767348,-0.00224608961170483,0.0371639278259915,14.5208308237361,0.104967068246667,0.108907886772701,"RRAGA","protein_coding"
"ENSMFAG00000029998",80.0368365605049,0.153972263503087,0.0927158074433555,14.5081261640153,0.105363537962386,0.109313493405216,"ENSMFAG00000029998","protein_coding"
"ENSMFAG00000013965",3.62685487542266,-0.254476161351321,0.169394157282314,14.5063499285943,0.105419072244368,0.109365359281065,"ENSMFAG00000013965","protein_coding"
"ENSMFAG00000029866",406.914425402443,-0.0151528655908252,0.0372193230194139,14.4977806876068,0.105687349724352,0.109637915186421,"DPH2","protein_coding"
"ENSMFAG00000005534",4.48631206160489,0.0252676383120616,0.165688825306452,14.4945224740827,0.105789510815737,0.109738125718438,"RF00026","snRNA"
"ENSMFAG00000003671",4.12732726460098,0.42236918030317,0.1584989913523,14.4913650041563,0.105888595236393,0.109835134374415,"ENSMFAG00000003671","pseudogene"
"ENSMFAG00000043871",10.3851435005639,0.107990869245452,0.100823979504477,14.4792793021115,0.106268603986316,0.110223512082527,"ENSMFAG00000043871","protein_coding"
"ENSMFAG00000000056",68.0217197542267,-0.0305858917558319,0.12773708720863,14.4750990135708,0.106400320501151,0.110354329783375,"ENSMFAG00000000056","protein_coding"
"ENSMFAG00000042750",37219.7191616986,0.104148524470539,0.120019452655556,14.4722625246868,0.106489776295843,0.110441304839146,"ENSMFAG00000042750","protein_coding"
"ENSMFAG00000023561",141.759011450419,0.0497321726321821,0.0586776581274923,14.4663655742488,0.106675961194052,0.11062858392185,"ZNF524","protein_coding"
"ENSMFAG00000008688",4.03818920507298,-0.334930896684723,0.177779861052264,14.4539147886903,0.107070002615148,0.111031390140956,"RF00017","misc_RNA"
"ENSMFAG00000000756",826.989950668581,-0.0769515007532762,0.0710729822560603,14.4500126333751,0.107193758341639,0.111153882999486,"AURKAIP1","protein_coding"
"ENSMFAG00000015191",5.18349391091427,-0.138964824072527,0.165521262132452,14.4305416025823,0.107813139603792,0.111790271711089,"MIR382","miRNA"
"ENSMFAG00000042241",671.507058746341,-0.105287101475379,0.0534751147716533,14.4280145450248,0.107893754276303,0.111867981681467,"FAAP100","protein_coding"
"ENSMFAG00000005771",2.13645550766404,-0.0735271978194354,0.21252676353498,14.4268856098606,0.107929784944895,0.111899459674898,"RF00026","snRNA"
"ENSMFAG00000035549",141.927506893459,0.0491712544899703,0.0546116032462279,14.4265440824893,0.107940687066567,0.111904882950534,"PTS","protein_coding"
"ENSMFAG00000011861",4.19168335147877,-0.168992401696388,0.162359334405227,14.4195507973163,0.108164135185536,0.112130645974625,"RF00026","snRNA"
"ENSMFAG00000046620",6.12418845158892,-0.203523702897031,0.133456015699267,14.4192603213605,0.10817342511833,0.112134385313101,"ENSMFAG00000046620","lincRNA"
"ENSMFAG00000013407",218.369087254416,0.0312115480217176,0.0417877780899546,14.4093424556995,0.108491032724001,0.112457714735763,"ZNF354A","protein_coding"
"ENSMFAG00000007855",5.17182590416829,0.12923141349577,0.153534947821335,14.4035034736162,0.108678398171838,0.112646013170495,"RF00571","snoRNA"
"ENSMFAG00000005092",1.4531040058319,-0.291844957734125,0.283887725713002,14.400724408848,0.108767673608807,0.112732626097751,"RF00026","snRNA"
"ENSMFAG00000036918",145.448902200921,0.0429988685385962,0.0444518256084023,14.3899084624072,0.109115735445645,0.113087435884945,"CAAP1","protein_coding"
"ENSMFAG00000006241",3.59494507431433,-0.0759140579904458,0.183549741399012,14.3851601104825,0.109268845112731,0.113240170785946,"RF00026","snRNA"
"ENSMFAG00000037104",674.102467840371,0.0708873633774019,0.0592314367872149,14.3774659861901,0.10951733713881,0.113491733439578,"DNAJB14","protein_coding"
"ENSMFAG00000030188",3.08028155520838,0.249631063886631,0.205079630707046,14.3668998898206,0.109859383629676,0.113840214146663,"ENSMFAG00000030188","protein_coding"
"ENSMFAG00000046589",2.04998058173534,-0.0866009714821764,0.23446138756949,14.3625671997106,0.109999909947215,0.113979846824473,"ENSMFAG00000046589","lincRNA"
"ENSMFAG00000008842",3.36366242671122,0.180781689442642,0.251880719997743,14.3349319799099,0.110899909252781,0.114906375203522,"RF00100","misc_RNA"
"ENSMFAG00000030082",2.00982828466559,-0.103986719427197,0.261069983743456,14.3336270084569,0.110942566033378,0.114944537304837,"IL17B","protein_coding"
