"gene_id","highest_network","donor_centered_log2_effect_vs_other_network_mean","gene_symbol","gene_type"
"ENSMFAG00000046517","Subcortical",1.73901293443159,"ENSMFAG00000046517","lincRNA"
"ENSMFAG00000040506","Frontal (agranular frontal motor areas)",0.249208029579371,"GLUL","protein_coding"
"ENSMFAG00000044965","Subcortical",0.204048395576988,"RNASEL","protein_coding"
"ENSMFAG00000041045","Subcortical",0.835447992785633,"RGS16","protein_coding"
"ENSMFAG00000035700","Subcortical",2.06413842858327,"RGS8","protein_coding"
"ENSMFAG00000034260","Subcortical",0.282814101946907,"NPL","protein_coding"
"ENSMFAG00000041152","Occipital/Temporal",0.0850799888449569,"DHX9","protein_coding"
"ENSMFAG00000033997","Occipital/Temporal",0.153716056925569,"LAMC1","protein_coding"
"ENSMFAG00000000974","Subcortical",2.02237932351281,"LAMC2","protein_coding"
"ENSMFAG00000043841","Cingulate gyrus",0.132927021770581,"NMNAT2","protein_coding"
"ENSMFAG00000031653","Hippocampal formation",0.106322028142415,"SMG7","protein_coding"
"ENSMFAG00000036375","Subcortical",0.753306488175419,"NCF2","protein_coding"
"ENSMFAG00000036678","Hippocampal formation",0.490989237919462,"ARPC5","protein_coding"
"ENSMFAG00000032110","Temporal",0.110333071864479,"RGL1","protein_coding"
"ENSMFAG00000000787","Operculum/Insula",0.397818194818126,"COLGALT2","protein_coding"
"ENSMFAG00000037321","Subcortical",0.165914516091382,"ENSMFAG00000037321","protein_coding"
"ENSMFAG00000045835","Hippocampal formation",0.152285814311983,"C1orf21","protein_coding"
"ENSMFAG00000029224","Orbitomedial Prefrontal Cortex (OMPFC)",0.259185544469833,"ENSMFAG00000029224","protein_coding"
"ENSMFAG00000032349","Operculum/Insula",0.0441904655968976,"EDEM3","protein_coding"
"ENSMFAG00000035390","Hippocampal formation",0.773558096014815,"FAM129A","protein_coding"
"ENSMFAG00000036583","Hippocampal formation",0.389930827290592,"RNF2","protein_coding"
"ENSMFAG00000037592","Subcortical",0.180874274486514,"TRMT1L","protein_coding"
"ENSMFAG00000031793","Subcortical",0.269083914290643,"SWT1","protein_coding"
"ENSMFAG00000039625","Subcortical",0.873196108165056,"IVNS1ABP","protein_coding"
"ENSMFAG00000037495","Frontal (agranular frontal motor areas)",0.743031893194165,"HMCN1","protein_coding"
"ENSMFAG00000007615","Temporal",0.160120381390592,"RF00026","snRNA"
