"gene_symbol","fisher_score","gene_index","gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_type","highest_network","donor_centered_log2_effect_vs_other_network_mean","lrt_tested","lrt_fdr_lt_0_05","effect_n_donors","effect_se","effect_ci95_low","effect_ci95_high"
"ENSMFAG00000046456",2.0729062649324,9135,"ENSMFAG00000046456",96.8806505790592,0.0204568109785707,0.107585736299553,1388.58504601292,2.2622186150251e-293,4.37628408937994e-291,"lincRNA","Occipital/Temporal",1.61246180327931,TRUE,TRUE,9,0.244001814045413,0.419067375149078,1.54440575952116
"ENSMFAG00000032887",2.04086034319867,6915,"ENSMFAG00000032887",1389.65330675049,0.142213432696392,0.0829366414553438,841.137388396653,2.95625944842609e-175,1.58945262769329e-173,"protein_coding","Operculum/Insula",0.734023096308071,TRUE,TRUE,9,0.108390704177114,0.166438603210894,0.666337427311127
"RSPO2",2.02783719750561,17401,"ENSMFAG00000031789",435.196123620883,1.06728858062815,0.094338940261216,1350.00513160995,4.88978221638627e-285,9.18906501845084e-283,"protein_coding","Occipital/Temporal",1.56845335915382,TRUE,TRUE,9,0.178797030547516,0.77630619741589,1.60091958102549
"KHDRBS3",2.02238873251308,12229,"ENSMFAG00000041845",1388.18985610653,-0.101623464280617,0.0412866207130505,1522.50788399354,2.56914135837448e-322,6.33688597355983e-320,"protein_coding","Occipital/Temporal",0.410843967445653,TRUE,TRUE,9,0.0754718039200511,0.156253321757892,0.504329905619803
"OVOL2",2.02203388869261,14949,"ENSMFAG00000021726",220.707061232147,-0.464348251715554,0.0945522701190223,1092.77432768906,1.68059470630682e-229,1.85259747177911e-227,"protein_coding","Cingulate gyrus",1.13777446720039,TRUE,TRUE,8,0.215195113904721,0.143433084275473,1.16114425460222
"NUAK1",2.00959482180609,14696,"ENSMFAG00000000816",6222.00463611143,-0.00594177776971133,0.054369947444604,1413.55538622081,9.10639624172711e-299,1.83354500654857e-296,"protein_coding","Occipital/Temporal",0.615909028159032,TRUE,TRUE,9,0.0688769293329543,0.192479297695765,0.51014026541968
"ADCY2",1.99763797378273,276,"ENSMFAG00000001655",2988.10362250877,-0.081090578526385,0.0513912336321124,1201.08650977376,7.06599425696778e-253,1.02519263734183e-250,"protein_coding","Frontal (agranular frontal motor areas)",0.422282540261793,TRUE,TRUE,8,0.0577878541538229,0.158053095533985,0.431346218293257
"ETS2",1.97709971961408,9842,"ENSMFAG00000042503",2857.72766934839,0.200305887698173,0.0413728962074256,1414.46833098904,5.78206686941243e-299,1.17620354089944e-296,"protein_coding","Occipital/Temporal",0.446397693001268,TRUE,TRUE,9,0.0559476546128102,0.105225074599182,0.363256120383412
"CCK",1.96601469897303,2131,"ENSMFAG00000002130",2721.16272083702,-0.385339409424274,0.111403366034815,556.231040925673,5.13556590792433e-114,9.55089410887492e-113,"protein_coding","Cingulate gyrus",0.903990325946915,TRUE,TRUE,8,0.171209026340709,0.282314493135737,1.0920045246894
"RND1",1.94236349501754,17159,"ENSMFAG00000038513",373.825233259819,0.1010940502318,0.0466630391271493,1333.66129067193,1.65890908099414e-281,3.0030820170804e-279,"protein_coding","Occipital/Temporal",0.488499943512678,TRUE,TRUE,9,0.0636923938543587,0.0968794734239976,0.390629320642405
